series,id,type,parent,name,columns,description,default-scale,themes,map-theme,theme-order,global-picture-color-ramp,uom,uom_display,source,calculation,format,highorlow,range,interpolated,missing-donor,missing-recipient,laymans-decription,laymans-heading,source-link,staging,theme-year
country-year,spotlight-on-kenya/kenya-pop-pc-female,simple,,Percent female population,"id, year, value",Percent female population,lin,kenya-pop,kenya-pop,1,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"49.5, 50, 50.5, 51",,NA,NA,Percent female population,Percent female population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-pc-male,simple,,Percent male population,"id, year, value",Percent male population,lin,kenya-pop,kenya-pop,2,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"49.5, 50, 50.5, 51",,NA,NA,Percent male population,Percent male population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pop-total,simple,,Total population,"id, year, value",Total population,lin,kenya-pop,kenya-pop,3,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"500000, 700000, 900000, 1000000",,NA,NA,Total population,Total population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pov-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pov,,,darkred,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pov-gap,simple,,Poverty gap,"id, year, value",Poverty gap,lin,kenya-pov,kenya-pov,1,darkred,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"10, 15, 20, 25",,NA,NA,Poverty gap,Poverty gap,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-pov-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pov,,,darkred,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-rural-pop,simple,,Rural population,"id, year, value",Rural population,lin,kenya-pop,kenya-pop,6,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"70, 80, 84, 86",,NA,NA,Rural population,Rural population,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-treat-child-diarr,simple,,Percent of children with diarrhoea treated,"id, year, value",Percent of children with diarrhoea for whom treatment was sought from a health facility/provider,lin,kenya-health,kenya-health,10,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"50, 55, 60, 65",,NA,NA,Percent of children with diarrhoea for whom treatment was sought from a health facility/provider,Percent of children with diarrhoea treated,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-treat-child-respir,simple,,Percent of children with acute respiratory infections treated,"id, year, value",Percent of children with acute respiratory infections for whom treatment was sought from a health facility/provider,lin,kenya-health,kenya-health,11,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"60, 65, 70, 75",,NA,NA,Percent of children with acute respiratory infections for whom treatment was sought from a health facility/provider,Percent of children with acute respiratory infections treated,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-urban-avg,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pop,,,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-urban-pop,simple,,Urban population (%),"id, year, value",Urban population (%),lin,kenya-pop,kenya-pop,7,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,highisbetter,"14, 16, 22, 34",,NA,NA,Urban population (%),Urban population (%),http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-urban-rank,simple,,Lorum ipsum,"id, year, value",Lorum ipsum,lin,kenya-pop,,,darkorange,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,,,,NA,NA,Lorum ipsum,Lorum ipsum,http://devinit.org,1,
country-year,spotlight-on-kenya/kenya-weight-below-3sd,simple,,Percent of population below weight,"id, year, value",Percent of population with a body-weight less than three standard-deviations from the mean,lin,kenya-health,kenya-health,9,red,unit,,"Lorem ipsum dolor sit amet, est ei veri delectus, eum.",,,lowisbetter,"1.5, 2.5, 3.5, 4.5",,NA,NA,Percent of population with a body-weight less than three standard-deviations from the mean,Percent of population below weight,http://devinit.org,1,
country-year,taxrev-pctGDP,simple,,Tax revenue,"id, year, value",Tax revenue as a proportion of GDP,lin,,,,,% GDP,%,World Bank,,,highisbetter,"0.10, 0.15, 0.20, 0.25, 0.30",,NA,NA,Taxes collected by the national government as a percentage of the country's GDP.,Tax revenue as a % of GDP,,,
country-year,total-employment,simple,,Total employment %,"id, year, value",Total employment %,lin,employment,,,,percent,%,World Bank World Development Indicators,100% minus total unemployment.,,highisbetter,,,NA,NA,,,,,
country-year,total-revenue-pct-GDP,simple,,"Government revenue (including grants), % of GDP","id, year, value, budget-type","Government revenue (including grants), % of GDP",lin,dpf,,,,percent,%,Development Initiatives calculations based on IMF Article IV publications,Total government revenue from all sources divided by the GDP of each country.,,,"15, 20, 25, 30, 40",,NA,NA,"Revenue raised as a proportion of national income (GDP) by the government, including tax, non-tax revenue and grants (borrowing is excluded).","Government revenue (including grants), % of GDP",,,2014
country-year,total-revenue-PPP-capita,simple,,"Government revenue per person (including grants), constant PPP$","id, year, value, budget-type","Government revenue per person (including grants), constant PPP$",lin,dpf,,,,2012 PPP$,US$,Development Initiatives calculations based on IMF Article IV publications,Total government revenue from all sources divided by the population of each country.,,highisbetter,"200, 500, 1000, 1500, 2000, 10000",,NA,NA,"Average revenue raised per person by the government, including tax, non-tax revenue and grants (borrowing is excluded).","Government revenue (including grants), PPP$ per person",,,2014
country-year,under-5-mortality,simple,,"Under 5 mortality rate (per 1,000 live births)","id, year, value","Under 5 mortality rate (per 1,000 live births)",lin,health,,,,unit,,World Bank World Development Indicators,,,lowisbetter,,,NA,NA,,,,,
country-year,university-college-enrolment,simple,,"School enrolment, tertiary (% gross)","id, year, value, original-value","School enrolment, tertiary (% gross)",lin,education,,,,percent,%,World Bank World Development Indicators,,,highisbetter,,1,NA,NA,,,,,
country-year,warehouse/data_series/intl_flows_donors,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_bundle_2015,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/d14_region,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/d15_depth_of_poverty,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/d15_flow,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/disbursement_by_region_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/donor_bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/gni_per_capita_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/intl_resource_flows_targeting,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/intl_resource_mix_by_region,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/loans_grants_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/oda_per_capita_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/oda_revenue_poverty,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/recipient_bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/donor_profile/sectors_over_time_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/fact/life_expectancy_at_birth,simple,,"Life expectancy at birth, total (years)","di_id, year, value","Life expectancy at birth, total (years)",lin,health,,,,unit,,"World Bank World Development Indicators, series code SP.DYN.LE00.IN","World Bank World Development Indicators, series code SP.DYN.LE00.IN.",,highisbetter,,,NA,NA,,,,,
country-year,warehouse/fact/maternal_mortality,simple,,"Maternal mortality rate (per 100,000 live births)","di_id, year, value, original-value","Maternal mortality rate (per 100,000 live births)",lin,health,,,,unit,,"World Bank World Development Indicators, series code SH.STA.MMRT","World Bank World Development Indicators, series code SH.STA.MMRT.",,lowisbetter,,1,NA,NA,,,,,
country-year,warehouse/intl_outflows_donors,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/purpose_by_bundle,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/purpose_trend,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/recipient_by_purpose_by_di_id,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/recipient_by_purpose_by_parent,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/recipient_by_sector_by_di_id,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/multilateral_profile/sector_by_purpose_by_di_id,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/oda_per_capita_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/oda_per_capita_excl_non_transfer_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/oda_per_poor_person_2012,simple,,"ODA per person living on under $1.90 a day, US$","id, year, value",Gross ODA received per person living under $1.90 a day,log,official,,,darkpurple,US$,US$,Development Initiatives based on OECD DAC,,,highisbetter,"100, 250, 1000, 5000, 500000",,NR,NA,"Official development assistance (ODA) per poor person, calculated as the total net ODA received by a country divided by the number of people in that country living on less than $1.90 per day.","ODA per person living on under $1.90 a day, US$",,,
country-year,warehouse/oda_per_poor_person_2015,simple,,"ODA per person living on under $1.90 a day, US$","id, year, value",Gross ODA received per person living under $1.90 a day,log,official,,,darkpurple,US$,US$,Development Initiatives based on OECD DAC,,,highisbetter,"100, 250, 1000, 5000, 500000",,NR,NA,"Official development assistance (ODA) per poor person, calculated as the total net ODA received by a country divided by the number of people in that country living on less than $1.90 per day.","ODA per person living on under $1.90 a day, US$",,,
country-year,warehouse/oda_per_poor_person_excl_non_transfer_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/south_south_cooperation/bundle_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,warehouse/south_south_cooperation/recipient_and_region_2012,simple,,,,,,,,,,,,,,,,,,,,,,,,
country-year,youth-literacy,simple,,"Literacy rate, youth total (% of people ages 15-24)","id, year, value, original-value","Literacy rate, youth total (% of people ages 15-24)",lin,education,,,,percent,%,World Bank World Development Indicators,,,highisbetter,,1,NA,NA,,,,,
country-year,youth-unemployment,simple,,Youth unemployment %,"id, year, value",youth unemployment %,lin,employment,,,,percent,%,World Bank World Development Indicators,,,lowisbetter,,1,NA,NA,,,,,
reference,kenya-district-entity,reference,,Kenyan entity reference,,,,,,,,,,,,,,,,,,,,,,
reference,kenya-theme,reference,,,,,,,,,,,,,,,,,,,,,,,,
