parent,year,sector,sector-rank,sector-value,purpose-code,purpose-name,purpose-rank,purpose-value
United Nations Children's Fund,2014,health,2,225936354.87,12240,Basic nutrition,3,39411618.98
United Nations Children's Fund,2014,health,2,225936354.87,12110,Health policy & administrative management,4,29845378.90
United Nations Children's Fund,2014,health,2,225936354.87,13040,Std control including hiv/aids,5,21985432.58
United Nations Children's Fund,2014,health,2,225936354.87,0,Other,6,45466162.55
United Nations Children's Fund,2014,other,1,709606536.31,43030,Urban development and management,4,203534.39
United Nations Children's Fund,2014,other,1,709606536.31,99810,Sectors not specified,3,134909592.13
United Nations Children's Fund,2014,other,1,709606536.31,43010,Multisector aid,2,268304767.23
United Nations Children's Fund,2014,other,1,709606536.31,91010,Administrative costs (non-sector allocable),1,306188642.56
United Nations Children's Fund,2014,other-social-services,3,92091519.46,16020,Employment policy and administrative management,5,358671.28
United Nations Children's Fund,2014,other-social-services,3,92091519.46,16010,Social/welfare services,1,60004369.81
United Nations Children's Fund,2014,other-social-services,3,92091519.46,16064,Social mitigation of HIV/AIDS,4,2199661.42
United Nations Children's Fund,2014,other-social-services,3,92091519.46,16050,Multisector aid for basic social services,3,7857976.06
United Nations Children's Fund,2014,other-social-services,3,92091519.46,16062,Statistical capacity building,2,21670840.89
United Nations Development Programme,2014,environment,4,38901931.40,41010,Environmental policy and admin. mgmt,1,35860487.18
United Nations Development Programme,2014,environment,4,38901931.40,0,Other,6,220907.89
United Nations Development Programme,2014,environment,4,38901931.40,41082,Environmental research,5,150270.49
United Nations Development Programme,2014,environment,4,38901931.40,41020,Biosphere protection,4,420256.96
United Nations Development Programme,2014,environment,4,38901931.40,41040,Site preservation,3,624872.79
United Nations Development Programme,2014,environment,4,38901931.40,41030,Bio-diversity,2,1625136.08
United Nations Development Programme,2014,governance-and-security,1,240806606.29,15110,Public sector policy and administrative management,1,103106300.14
United Nations Development Programme,2014,governance-and-security,1,240806606.29,15130,Legal and judicial development,2,24806420.97
United Nations Development Programme,2014,governance-and-security,1,240806606.29,15112,Decentralisation and support to subnational government,3,17910098.47
United Nations Development Programme,2014,governance-and-security,1,240806606.29,15150,Democratic participation and civil society,4,17364576.47
United Nations Development Programme,2014,governance-and-security,1,240806606.29,15220,"Civilian peace-building, conflict prevention and resolution",5,12962229.88
United Nations Development Programme,2014,governance-and-security,1,240806606.29,0,Other,6,64656980.36
United Nations Development Programme,2014,humanitarian,3,52364851.61,72050,Relief co-ordination; protection and support services,4,222429.36
United Nations Development Programme,2014,humanitarian,3,52364851.61,74010,Disaster prevention and preparedness,1,26403187.41
United Nations Development Programme,2014,humanitarian,3,52364851.61,73010,Reconstruction relief and rehabilitation,2,15249710.64
United Nations Development Programme,2014,humanitarian,3,52364851.61,72010,Material relief assistance and services ,3,10489524.19
United Nations Development Programme,2014,other,2,67123301.11,99810,Sectors not specified,2,17544024.75
United Nations Development Programme,2014,other,2,67123301.11,43030,Urban development and management,3,3539337.54
United Nations Development Programme,2014,other,2,67123301.11,43040,Rural development,4,1663085.80
United Nations Development Programme,2014,other,2,67123301.11,99820,Promotion of development awareness  (non-sector allocable),5,932386.08
United Nations Development Programme,2014,other,2,67123301.11,0,Other,6,524133.81
United Nations Development Programme,2014,other,2,67123301.11,43010,Multisector aid,1,42920333.12
United Nations Development Programme,2014,other-social-services,5,12996249.27,16050,Multisector aid for basic social services,5,175740.84
United Nations Development Programme,2014,other-social-services,5,12996249.27,16010,Social/welfare services,1,6053709.94
United Nations Development Programme,2014,other-social-services,5,12996249.27,16020,Employment policy and administrative management,2,3665864.00
United Nations Development Programme,2014,other-social-services,5,12996249.27,16062,Statistical capacity building,3,2358935.97
United Nations Development Programme,2014,other-social-services,5,12996249.27,16064,Social mitigation of HIV/AIDS,4,592852.07
United Nations Development Programme,2014,other-social-services,5,12996249.27,0,Other,6,149146.44
United Nations Economic Commission for Europe,2014,environment,1,5365424.47,41010,Environmental policy and admin. mgmt,1,5060825.70
United Nations Economic Commission for Europe,2014,environment,1,5365424.47,41082,Environmental research,2,304598.77
United Nations Economic Commission for Europe,2014,governance-and-security,5,991517.80,15240,Reintegration and SALW control,1,741213.42
United Nations Economic Commission for Europe,2014,governance-and-security,5,991517.80,15170,Women's equality organisations and institutions,3,56296.35
United Nations Economic Commission for Europe,2014,governance-and-security,5,991517.80,15210,Security system management and reform,2,194008.03
United Nations Economic Commission for Europe,2014,industry-and-trade,4,1260360.78,33110,Trade policy and admin. management,4,3834.51
United Nations Economic Commission for Europe,2014,industry-and-trade,4,1260360.78,33120,Trade facilitation,3,127507.77
United Nations Economic Commission for Europe,2014,industry-and-trade,4,1260360.78,32110,Industrial policy & admin. mgmt,2,561730.19
United Nations Economic Commission for Europe,2014,industry-and-trade,4,1260360.78,33150,Trade-related adjustment,1,567288.30
United Nations Economic Commission for Europe,2014,infrastructure,3,1923819.03,21010,Transport policy & administrative management,4,83438.09
United Nations Economic Commission for Europe,2014,infrastructure,3,1923819.03,21020,Road transport,1,1414625.96
United Nations Economic Commission for Europe,2014,infrastructure,3,1923819.03,23640,Gas distribution,2,277242.07
United Nations Economic Commission for Europe,2014,infrastructure,3,1923819.03,21030,Rail transport,3,141013.27
United Nations Economic Commission for Europe,2014,infrastructure,3,1923819.03,23320,Coal-fired electric power plants,5,7499.64
United Nations Economic Commission for Europe,2014,water-and-sanitation,2,2844990.17,14022,Sanitation - large systems,2,32780.10
United Nations Economic Commission for Europe,2014,water-and-sanitation,2,2844990.17,14010,Water resources policy/administrative management,1,2812210.07
United Nations High Commissioner for Refugees,2014,humanitarian,1,339803896.43,72010,Material relief assistance and services ,1,339803896.43
United Nations High Commissioner for Refugees,2014,other,2,135753319.35,91010,Administrative costs (non-sector allocable),1,135753319.35
United Nations Peacebuilding Fund,2014,governance-and-security,1,53383980.96,15160,Human rights,5,1831246.75
United Nations Peacebuilding Fund,2014,governance-and-security,1,53383980.96,0,Other,6,3438417.32
United Nations Peacebuilding Fund,2014,governance-and-security,1,53383980.96,15210,Security system management and reform,3,6184302.85
United Nations Peacebuilding Fund,2014,governance-and-security,1,53383980.96,15220,"Civilian peace-building, conflict prevention and resolution",1,23920391.30
United Nations Peacebuilding Fund,2014,governance-and-security,1,53383980.96,15130,Legal and judicial development,2,16039788.85
United Nations Peacebuilding Fund,2014,governance-and-security,1,53383980.96,15240,Reintegration and SALW control,4,1969833.89
United Nations Peacebuilding Fund,2014,health,4,1914397.68,13010,Population policy and administrative management,1,1914397.68
United Nations Peacebuilding Fund,2014,other,3,2240092.72,43040,Rural development,1,2234345.40
United Nations Peacebuilding Fund,2014,other,3,2240092.72,43010,Multisector aid,2,5747.31
United Nations Peacebuilding Fund,2014,other-social-services,2,4490280.61,16050,Multisector aid for basic social services,3,12390.11
United Nations Peacebuilding Fund,2014,other-social-services,2,4490280.61,16020,Employment policy and administrative management,1,4451271.55
United Nations Peacebuilding Fund,2014,other-social-services,2,4490280.61,16010,Social/welfare services,2,26618.95
United Nations Peacebuilding Fund,2014,water-and-sanitation,5,1358043.34,14021,Water supply - large systems,1,1034259.12
United Nations Peacebuilding Fund,2014,water-and-sanitation,5,1358043.34,14015,Water resources protection,2,323784.22
United Nations Population Fund,2014,health,1,336801989.42,13010,Population policy and administrative management,1,224999065.00
United Nations Population Fund,2014,health,1,336801989.42,13020,Reproductive health care,2,68857747.39
United Nations Population Fund,2014,health,1,336801989.42,13030,Family planning,3,33601281.22
United Nations Population Fund,2014,health,1,336801989.42,13040,Std control including hiv/aids,4,9343895.80
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2014,education,1,391075055.95,11220,Primary education,1,391075055.95
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2014,health,3,103137852.59,12220,Basic health care,1,103137852.59
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2014,humanitarian,4,37996902.88,72010,Material relief assistance and services ,1,37996902.88
United Nations Relief and Works Agency for Palestine Refugees in the Near East,2014,other,2,141480713.71,91010,Administrative costs (non-sector allocable),1,141480713.71
World Bank Group,2014,agriculture-and-food-security,4,1318290073.93,0,Other,6,480708934.40
World Bank Group,2014,agriculture-and-food-security,4,1318290073.93,31140,Agricultural water resources,1,281780008.58
World Bank Group,2014,agriculture-and-food-security,4,1318290073.93,31120,Agricultural development,2,203160085.38
World Bank Group,2014,agriculture-and-food-security,4,1318290073.93,31110,Agricultural policy & administrative management,3,143881788.76
World Bank Group,2014,agriculture-and-food-security,4,1318290073.93,31182,Agricultural research,4,141890057.02
World Bank Group,2014,agriculture-and-food-security,4,1318290073.93,31130,Agricultural land resources,5,66869199.78
World Bank Group,2014,education,3,1606409757.22,11220,Primary education,1,452831568.09
World Bank Group,2014,education,3,1606409757.22,11320,Secondary education,2,411765379.29
World Bank Group,2014,education,3,1606409757.22,11110,Education policy & administrative management,3,213477034.15
World Bank Group,2014,education,3,1606409757.22,11420,Higher education,4,170812947.26
World Bank Group,2014,education,3,1606409757.22,11330,Vocational training,5,103344915.41
World Bank Group,2014,education,3,1606409757.22,0,Other,6,254177913.03
World Bank Group,2014,governance-and-security,2,1617107995.27,15111,Public finance management,1,811006410.34
World Bank Group,2014,governance-and-security,2,1617107995.27,15110,Public sector policy and administrative management,2,345932767.13
World Bank Group,2014,governance-and-security,2,1617107995.27,15112,Decentralisation and support to subnational government,3,333036808.32
World Bank Group,2014,governance-and-security,2,1617107995.27,15113,Anti-corruption organisations and institutions,4,59667847.91
World Bank Group,2014,governance-and-security,2,1617107995.27,15220,"Civilian peace-building, conflict prevention and resolution",5,18157058.02
World Bank Group,2014,governance-and-security,2,1617107995.27,0,Other,6,49307103.54
World Bank Group,2014,infrastructure,1,3759033312.32,21020,Road transport,1,1298053436.45
World Bank Group,2014,infrastructure,1,3759033312.32,23110,Energy policy and administrative management,2,829731304.91
World Bank Group,2014,infrastructure,1,3759033312.32,23630,Electric power transmission and distribution,3,588862798.15
World Bank Group,2014,infrastructure,1,3759033312.32,21010,Transport policy & administrative management,4,224975118.36
World Bank Group,2014,infrastructure,1,3759033312.32,23220,Hydro-electric power plants,5,155212060.38
World Bank Group,2014,infrastructure,1,3759033312.32,0,Other,6,662198594.07
World Bank Group,2014,water-and-sanitation,5,997712805.38,14021,Water supply - large systems,1,292250831.68
World Bank Group,2014,water-and-sanitation,5,997712805.38,14022,Sanitation - large systems,2,127536536.46
World Bank Group,2014,water-and-sanitation,5,997712805.38,14010,Water resources policy/administrative management,3,115774145.45
World Bank Group,2014,water-and-sanitation,5,997712805.38,14040,River basins development,4,114360343.20
World Bank Group,2014,water-and-sanitation,5,997712805.38,14020,Water supply and sanitation - large systems,5,106146946.86
World Bank Group,2014,water-and-sanitation,5,997712805.38,0,Other,6,241644001.72
World Food Programme,2014,agriculture-and-food-security,4,20890984.16,31130,Agricultural land resources,2,416051.31
World Food Programme,2014,agriculture-and-food-security,4,20890984.16,52010,Food aid/Food security programmes,1,20474932.85
World Food Programme,2014,education,3,30271380.53,11220,Primary education,1,28252539.62
World Food Programme,2014,education,3,30271380.53,11230,Basic life skills for youth & adults,2,1800230.96
World Food Programme,2014,education,3,30271380.53,11120,Education facilities and training,3,218609.95
World Food Programme,2014,health,5,19454125.74,12240,Basic nutrition,1,17271285.27
World Food Programme,2014,health,5,19454125.74,13040,Std control including hiv/aids,2,2182840.47
World Food Programme,2014,humanitarian,1,201338631.00,72040,Emergency food aid,1,166780706.55
World Food Programme,2014,humanitarian,1,201338631.00,74010,Disaster prevention and preparedness,2,22553832.31
World Food Programme,2014,humanitarian,1,201338631.00,73010,Reconstruction relief and rehabilitation,3,10503787.41
World Food Programme,2014,humanitarian,1,201338631.00,72050,Relief co-ordination; protection and support services,4,1500304.74
World Food Programme,2014,other,2,31311830.74,99810,Sectors not specified,1,31311830.74
World Health Organisation,2014,health,1,431868618.72,12110,Health policy & administrative management,1,222109372.43
World Health Organisation,2014,health,1,431868618.72,12191,Medical services,2,33798872.56
World Health Organisation,2014,health,1,431868618.72,12182,Medical research,3,27248441.80
World Health Organisation,2014,health,1,431868618.72,13020,Reproductive health care,4,26302548.09
World Health Organisation,2014,health,1,431868618.72,12281,Health personnel development,5,25911767.64
World Health Organisation,2014,health,1,431868618.72,0,Other,6,96497616.20
World Health Organisation,2014,humanitarian,2,35051679.98,74010,Disaster prevention and preparedness,1,23639220.92
World Health Organisation,2014,humanitarian,2,35051679.98,72050,Relief co-ordination; protection and support services,2,11412459.07
